,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
0,khatanga,0,RU,1600849292,46,71.97,102.5,55.6,18.54
1,rikitea,10,PF,1600849293,75,-23.12,-134.97,72.39,16.37
2,narsaq,0,GL,1600849293,78,60.92,-46.05,32.0,10.29
3,butaritari,2,KI,1600849293,77,3.07,172.79,82.04,13.22
4,bambous virieux,40,MU,1600849293,61,-20.34,57.76,77.0,11.41
5,avarua,100,CK,1600849293,88,-21.21,-159.78,77.0,12.75
6,barrow,90,US,1600849293,92,71.29,-156.79,32.0,12.75
7,hobart,75,AU,1600849293,71,-42.88,147.33,50.0,17.22
8,miles city,1,US,1600849294,34,46.41,-105.84,64.4,5.82
9,busselton,7,AU,1600849294,39,-33.65,115.33,71.01,5.55
10,taoudenni,6,ML,1600849294,14,22.68,-3.98,96.62,3.33
11,nagua,99,DO,1600849294,96,19.38,-69.85,73.0,3.47
12,tuktoyaktuk,0,CA,1600849294,86,69.45,-133.04,36.54,7.83
13,derzhavinsk,100,KZ,1600849294,70,51.1,66.32,54.07,31.07
14,jamestown,1,US,1600849294,93,42.1,-79.24,46.4,3.36
15,nicoya,96,CR,1600849295,92,10.15,-85.45,74.01,0.74
16,pisco,90,PE,1600849295,87,-13.7,-76.22,59.0,3.36
17,oyama,75,JP,1600849295,94,36.3,139.8,73.99,11.41
18,clyde river,1,CA,1600849295,73,70.47,-68.59,21.2,2.24
19,albany,12,US,1600849295,95,42.6,-73.97,54.0,8.77
20,rawson,0,AR,1600849295,50,-43.3,-65.1,49.14,11.34
21,punta arenas,75,CL,1600849299,81,-53.15,-70.92,42.8,11.41
22,nikolskoye,20,RU,1600849299,93,59.7,30.79,55.0,4.47
23,montepuez,0,MZ,1600849299,37,-13.13,39.0,83.43,11.07
24,port alfred,47,ZA,1600849299,51,-33.59,26.89,67.59,4.59
25,east london,2,ZA,1600849299,49,-33.02,27.91,71.6,8.05
26,hilo,90,US,1600849209,83,19.73,-155.09,75.2,10.29
27,ushuaia,75,AR,1600849300,86,-54.8,-68.3,39.2,4.7
28,acarau,8,BR,1600849300,85,-2.89,-40.12,74.55,13.96
29,chapais,90,CA,1600849300,87,49.78,-74.85,55.4,5.82
30,umm lajj,0,SA,1600849300,40,25.02,37.27,95.34,10.69
31,lebu,94,CL,1600849300,86,-37.62,-73.65,46.22,11.88
32,esperance,40,AU,1600849300,67,-33.87,121.9,62.6,9.17
33,lorengau,79,PG,1600849301,73,-2.02,147.27,83.55,7.9
34,pangnirtung,100,CA,1600849301,81,66.15,-65.71,32.11,7.83
35,bluff,16,NZ,1600849301,74,-46.6,168.33,55.0,5.01
36,dingle,56,PH,1600849301,79,11.0,122.67,84.69,5.01
37,yellowknife,40,CA,1600849302,87,62.46,-114.35,48.2,4.7
38,grand gaube,3,MU,1600849302,55,-20.01,57.66,77.0,11.01
39,sitka,90,US,1600849302,62,57.05,-135.33,55.4,19.46
